method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed
AutoGluon 1.4 (4h),1624.8,91.0,83.2,7.117647058823529,0.8867103,0.04076269486832815,0.018147224957698653,0.014143846207902124,0.3672886109418617,10.0,8.0,3.0,30.0,4869.853105068207,41.84583792966955,758.0009641244379,7.960276726715385,0.2805937928901884,0.2805937928901884,0.0,5.0,0.011476959308066359,0.018666364150918033,0.20721410553259945,2654.1451456546783,11.547258615493774,558.4971737443356,4.887901791057909,0.22337962962962937,0.22337962962962937,0.0
AutoGluon 1.3 (4h),1523.2,56.5,49.1,10.784313725490197,0.8188091,0.07075133651130266,0.030815894057472773,0.021462663175916538,0.20846270704098666,3.0,5.0,3.0,40.0,8355.364120885437,32.82596967734543,2898.240203433117,4.500812758268476,0.41817094032180385,0.41817094032180385,0.0,8.0,0.036220438279793044,0.041169495293855204,0.20730576367778686,7964.962425470352,4.336968660354614,1453.2679445956664,3.1473262800156863,0.37073017862738417,0.37073017862738417,0.0
REALMLP_GPU (tuned + ensemble),1516.3,64.4,48.2,11.07843137254902,0.8133624,0.07549435932712112,0.026688688829862098,0.021198195243369584,0.16785553383395305,2.0,2.0,2.0,45.0,31981.760602137623,33.809967508503036,4086.344411609902,27.89499230727285,0.4306996808108868,0.4306996808108868,0.0,10.0,0.04094105607446452,0.04556879216925612,0.20747863247863252,12240.538945436478,27.119624614715576,2791.968339925578,13.886056212604348,0.40875603720352055,0.40875603720352055,0.0
REALMLP_GPU (tuned),1438.9,55.0,54.6,14.735294117647058,0.7456428,0.09155938088574125,0.03658141265817555,0.025628188050838593,0.14403736675942272,1.0,3.0,4.0,43.0,31981.760602137623,1.8869580848544252,4086.344411609902,2.0322801068135776,0.5337081287111106,0.5337081287111106,0.0,13.0,0.05619789201789349,0.05183882171648692,0.20329059829059826,12240.538945436478,0.9054093360900879,2791.968339925578,0.3727607920690236,0.4819891616194171,0.4819891616194171,0.0
TABDPT_GPU (tuned + ensemble),1431.9,75.2,62.4,15.098039215686274,0.7389254,0.07883857128481163,0.02286111823214662,0.024024199207300125,0.2188639701657544,5.0,2.0,6.0,38.0,66416.46539208468,2971.300943636427,7209.292051809765,367.4751531156739,0.49909197205023564,0.49909197205023564,0.0,16.0,0.04085738527787164,0.03954574471659438,0.20926228615015796,32023.2285656929,688.745902299881,6154.729983787657,386.16700944476514,0.5099999999999985,0.5099999999999985,0.0
GBM (tuned + ensemble),1419.8,42.4,38.7,15.735294117647058,0.7271243,0.10758375832922615,0.044584450511759965,0.030265108562081006,0.08867983265931738,0.0,0.0,1.0,50.0,3051.8140357896395,23.19597311113395,765.6312795719994,3.893554958066526,0.6193433629413312,0.6193433629413312,0.0,16.0,0.06281299003490204,0.06131890535560194,0.20939999846752688,1670.2684843540192,3.933397054672241,416.5640684155986,2.2357814013957977,0.6279055137923399,0.6279055137923399,0.0
TABM_GPU (tuned + ensemble),1413.1,73.9,48.7,16.098039215686274,0.7204067,0.09575720227131322,0.031083776348707945,0.02105220927558507,0.12465132256853627,2.0,0.0,0.0,49.0,36745.76943855192,8.411393100140142,5149.522818881001,3.299204733305397,0.5713458017375308,0.5713458017375308,0.0,13.0,0.051679911139060564,0.06510837229069186,0.2070175438596491,8818.62617468834,3.054008960723877,3133.9115732644937,1.2727714166408632,0.5751879463735778,0.5751879463735778,0.0
CAT (tuned + ensemble),1395.4,60.2,45.9,17.068627450980394,0.70243293,0.10099251683909352,0.038073778562157656,0.027911503495291062,0.0900403700557759,0.0,0.0,0.0,51.0,19506.186602929058,3.204344211840162,4009.454268521621,1.0312463789689519,0.6124564526824386,0.6124564526824386,0.0,16.0,0.04436795044877406,0.06051379676606588,0.20993648015075816,7158.277770042419,1.5355591773986816,1665.5315644683697,0.5594151152585728,0.6292611763273598,0.6292611763273598,0.0
TABDPT_GPU (tuned),1389.1,76.3,58.7,17.42156862745098,0.6958969,0.09563510056755561,0.029071920171409332,0.025726385190273218,0.1611546410101404,2.0,4.0,1.0,44.0,66416.46539208468,265.85550631728825,7209.292051809765,38.33493332033359,0.5632057388957817,0.5632057388957817,0.0,14.0,0.04537964669799577,0.04271894053582843,0.20907611840351592,32023.2285656929,57.323230028152466,6154.729983787657,39.45151534080505,0.5679974718139901,0.5679974718139901,0.0
MNCA_GPU (tuned + ensemble),1381.2,81.5,63.8,17.862745098039216,0.68772703,0.10501602459107719,0.02970350028869785,0.02876803752667141,0.16746464431685,4.0,1.0,1.0,45.0,50606.46933756155,274.8289722134085,6200.95174646742,33.492227920869496,0.5754921059761946,0.5754921059761946,0.0,14.0,0.05336115893695481,0.05453909737389178,0.20689504347115373,14787.927460432053,13.568246603012085,4618.502341732761,7.737494511886756,0.495336709073489,0.495336709073489,0.0
